count,shelfId,bookCount
1,cksuf04u79489i58gju8yief2,1
2,ckst9llqn5638811y8zly30hed4,4
3,ckse2f8xf59981gumtju1hw7c,6
4,ckv7y2a3d305062j8bt7l0rt7t,25
5,ckv117fcy131952738bvsuan9yw,11
6,ckuza1bg17898501i8bbrus23kd,14
7,ckrs1q5vk2908521798t67vu3dd,8
8,ckt0ez4jh417774287o6cdweqtl,38
9,ckrl0tloq374930183srvizq9ih,2
10,ckt4k4cgh1015501l77auimjf02h,14
11,ckufio4ad700429497aken74hm8,8
12,ckuhd49a55841714j7ark1yjzvg,7
13,ckuxs2sjd5877431j7adjzjtbvw,28
14,ckuhl2o97776905m7ag4v5ivn0,26
15,cktlnd6ps13009414x03e25gc4r,1
16,ckuy33lr45349452g7abq6p1xch,12
17,ckuvmc6an474518297ah1igr0oc,2
18,ckuziuqql84667268bkbdnjcaa,123
19,ckv2nbj2p1056995b88bll2hq12f,2
20,ckup68jbx8763102j7azh0a2i19,3
21,ckuzcqbuc14937211i8bbae4p5s7,12
22,ckuxw4w9l13072271j7avqqzvaj7,46
23,ckv1qiiy296535m8ba1uwsogi,402
24,ckv2nb8pa1055235b88beodwx1e2,5
25,cklr4w4nx349071jkjtkf6uyct,16
26,ckug1rp4z260441i7aynzqw401,49
27,ckv5tuubq375944rd8b045tls4p,44
28,cktjqxoya1427440a57ax9gj4kmk,103
29,ckux58bb96300151j6ps3kb9nqy,533
30,ckujz5mxl403336367atyg985s7,4
31,ckuhliifi2030575m7auf8pa6o7,12
32,ckst8wbwe3979591y8zu6pj0cfj,2
33,ckvamy8mp117207fe8bfexm6kdt,2
34,cksxso4dj867841378gapxoig94,55
35,cksu6phzj30550698gt7zsm9i0,20
36,ckuyhp0vf8139922g7ajwwxcw4f,3
37,ckuzdh4ck16678801i8bu6ni97fk,7
38,ckuxznfkr15268013f6pbyy1de65,16
39,cksuoskon3018333n8g6doyctq8,3
40,cktuz9tbz1185112yz7a93s4kt67,20
41,ckst8phep3523511y8zddguaddy,3
42,ckuk9m4np330427457al1k9v6jw,27
43,ckv7ksef886074213vw6p5k9tde,3
44,cksxdz8633064761k8g9kvutmok,8
45,ckuyivhkh2765124n6pwngcbp0q,40
46,cktytd27w1190049yz7a4rcr89sr,6
47,ckuhlou5t2542655m7a3281nqjo,5
48,cktn0udiq332337yz7apyjl66fh,3
49,ckuevphnl181383c7a9zfruuqj,12
50,ckv753gka377962xt8bflgninhl,1
51,ckuvmi4e9502971297ah209r3on,44
52,ckupsiwdx15844152j7a5x1hzpat,131
53,ckrxoztwl128551798jh0j0s9p,10
54,cksxw15kk1556384378gzrs433j3,144
55,ckryazhyp5803931798zwsodxj4,4
56,cksxfl5qb5972171k8g3z8avx6p,39
57,cksxdtrhf2822831k8gy4snyruy,11
58,ckstcdkzz89601ewxu9snpg6j,8
59,ckv7abqol210886yz8b4d0vjsy4,22
60,cktsmxnro1494605yz7a1ljtq9uk,15
61,cksxd1wwj1678941k8grkrihhgp,3
62,ckuecac471995931j7aqib6njtn,1
63,cku77sjwu462155nl7ah54p7mvu,1
64,ckqaqqkx814181j5zjk445ap9,3
65,cksgcek3k85736q298d7uc0t2s,11
66,ckss01w7x5727541957s3ghlqfm,1
67,ckt4sbh0w9810315wdkef0p4yg,5
68,cktqfkv5a811338yz7a9mn9f62q,18
69,ckryb1wty6025351798jbwlapff,3
70,ckv10ot2628280738b0qlriobj,6
71,cktbhthzh130425f87a28asq949,9
72,ckrxb9400540014vcod2uo6pu,4
73,cksuhqr20113855mx8gyzx5am6r,5
74,ckv86asl1964233i8bjr4rt2n6,22
75,cklr4s3m159581jkjsfv7atwj,9
76,ckscc7oyi138456gm98gx29p6dt,73
77,ckurwnrx16549412j7awqlegj8w,5
78,ckun40ged11614142j7al5dghjjh,13
79,ckt054sgz372492bt7owkt68cuz,25
80,cku8gp1kx517114vp7afmx5hrkl,71
81,cku77u2wa464531nl7a4a7ku4l6,1
82,ckucdohaa371855g7agyphml22,2
83,ckv2naztj1053595b88brod7kycn,5
84,cktz3n4km365532yz7aep8nswxp,21
85,cku0g9taz1594748yz7a3y44xp6h,145
86,cksu738ck93607m8geg7kr1cn,2
87,cksui0ea21451nq8ghuwxgqx4,4
88,cktn0wv12341599yz7asi7efgfc,4
89,ckstfaywr519940528z7valxhe9,28
90,ckrrnxq2i1827651798f5bslv4t,2
91,cku7z06cr471793ur7as00nhbb9,5
92,ckuyrk9si56442213srcztr0bye,1
93,cku77l0ia452068nl7a5kcr1td4,1
94,ckv7y5gal472942j8bkzqb72gy,53
95,ckssdt69l111850719572drl91fe,1
96,cku02pc73808194yz7aw6o936ik,93
97,cksxk6tja2142082h8gckd9gnuk,2
98,ckut8x58i88870614u6byszbes2,55
99,ckslu9wou1612109q2984npezx2l,343
100,ckv7y2nxo328452j8bvwr05fjw,8
101,cksdbahbk37865j598ayicr88x,12
102,ckro974pu521176178fhbc0rvau,9
103,ckuj091ge553514987aa3icdkej,46
104,cksrv43kb4911651957yij79rvl,8
105,ckv5d0loa26803ph8bmtp0yiqj,41
106,cktbhsbf7128239f87a3cgn2fwc,23
107,cksccabpy152025gm981dhc9nwi,26
108,cktt5x3pw219093yz7adqpopozg,6
109,ckv70sz53859044wx8btva1j63z,15
110,cksj60dy31089659q298nezvdmm3,17
111,cku1logla57003yz7apk3jawjc,6
112,ckscc6kem132720gm98by0vhvmy,5
113,ckufp53yq78767277akxm9mo0m,3
114,ckueig6h81588202c7afdwy5nyk,35
115,ckv6phbz227648vs8bx3b7vnvc,14
116,ckv17n1ex3778914w4afackt5o,50
117,ckuoiaz1u2982742j7a3jq3jacs,17
118,ckrxp8m6m867361798z83eywwk,38
119,ckt5x9geg465183rg7as5euyoxy,5
120,cktlvmeiz34789vx7aj9ivi3mp,2
121,ckuxu8qve7726003f6ppoifl384,10
122,ckueg33t029792613unghhabsua,17
123,ckuzli9gl703200268bpipj4jdh,2
124,cksuf8h5j1100jh8g2vivmzc5,14
125,ckv0t6n051972995s8bsc5pra2r,3
126,ckv13ua9s282525738bbyf1e2kv,6
127,cktpo1t3w3613031esv6zp3wafa,13
128,cku0gn46z1658433yz7a2efih7iy,4
129,ckuvwjt35582212477ad36x87ta,1
130,ckryb1lbs5998971798kqzsd3wy,11
131,cksukg2lh54631k8ge919d357,56
132,cktgu971s76331a7auotqqu5m,1
